ID_STG_FNT_ITT,NUM_CNPJ,NUM_CMP_CNPJ,NOM_COM,NOM_RAZ_SCL
183,12182674487,2635,NMN,NMN
197,16167328168,1802,NMN,NMN
322,20579036860,2397,NMN,NMN
458,20616228848,1972,NMN,NMN
491,20041241384,1870,NMN,NMN
595,12886037774,1819,NMN,NMN
709,17230384612,3366,NMN,NMN
778,15370302582,2261,NMN,NMN
790,17949664574,1751,NMN,NMN
815,25372939671,3383,NMN,NMN
816,25403273689,2363,NMN,NMN
838,25460682383,2686,NMN,NMN
884,26345171796,3060,NMN,NMN
886,25290527275,1802,NMN,NMN
892,23424804254,1751,NMN,NMN
46,0,3247,MMNPP JP MRMSVL,MMNPP JP MRMSVL
107,17765603364,22202,NMN,NMN
153,2227510850,105944,NMN,NMN
191,15192389269,2074,NMN,NMN
249,22789992923,2754,NMN,NMN
277,22780431647,2074,NMN,NMN
300,12394381437,2907,NMN,NMN
365,19640506181,2533,NMN,NMN
373,20614014241,3077,NMN,NMN
483,16635917392,2533,NMN,NMN
573,20594482176,3247,NMN,NMN
669,15722629707,2550,NMN,NMN
698,17133483779,1921,MMNPP PMN S.M.,MMNPP PMN S.M.
719,20797975457,2074,NMN,NMN
720,18716065119,1751,NMN,NMN
725,16645856680,2550,NMN,NMN
754,17089666177,2720,NMN,NMN
779,15463141809,1802,NMN,NMN
782,17403304005,3111,NMN,NMN
818,25354859253,2703,NMN,NMN
842,23442278061,2006,NMN,NMN
863,28174401920,3145,NMN,NMN
902,25368502076,2788,NMN,NMN
6,20264587520,2414,PJNTRML SVPRJJV N/NJ,PPPPJRMTVVM PJNTRML JJ PRJJVTP JP NPRTJ/NPRJJSTJ - PJNTRML SVPRJJV NPRTJ/NPRJJSTJ
111,17765603364,55743,NMN,NMN
131,17765603364,468078,NMN,NMN
150,2227510850,113322,NMN,NMN
167,18006968072,1955,NMN,NMN
184,14743110447,2533,NMN,NMN
192,16907404281,1700,NMN,NMN
320,12390536292,1734,NMN,NMN
362,15616957724,2465,NMN,NMN
520,18874141183,3026,NMN,NMN
713,14187333391,1802,NMN,NMN
715,15561563938,2839,NMN,NMN
721,13067119683,2261,NMN,NMN
738,16630631004,3111,NMN,NMN
767,17139308285,2040,NMN,NMN
772,15987297930,3196,NMN,NMN
780,13479622966,2652,NMN,NMN
796,17585716181,2499,NMN,NMN
830,341459569,17782,NMN,NMN
831,341459569,15334,NMN,NMN
843,23716867365,1751,NMN,NMN
870,25368311625,3077,NMN,NMN
912,22804298423,2499,NMN,NMN
4,17939154800,2057,MMNK PJ MMJRVPM,MMNK PJ MMJRVPM MJRRVLL LYNPV MMNPP MZLTVPLP S.M.
47,16715703645,2380,MMNPP TRVPZRY,MMNPP TRVPZRY
71,17489766158,2074,NMN,NMN
128,17765603364,376397,NMN,NMN
146,20626417254,2975,NMN,NMN
190,13730135680,3094,NMN,NMN
215,26554759509,2244,MMNPP JPVN JJJRJ S.M.,MMNPP JPVN JJJRJ S.M.
255,25082840893,1887,NMN,NMN
256,23584436294,2975,NMN,NMN
269,10766709161,1751,NMN,NMN
271,10875375762,2431,NMN,NMN
324,18564646170,2210,NMN,NMN
352,24991621511,2448,NMN,NMN
634,667321230,12699,NMN,NMN
640,667321230,23715,NMN,NMN
716,13310973259,3383,NMN,NMN
723,15298342738,2091,NMN,NMN
735,15194234534,2431,NMN,NMN
750,21404641078,1904,NMN,NMN
771,13855896053,2312,NMN,NMN
856,10820912845,2414,NMN,NMN
882,341459569,13957,NMN,NMN
894,20354741070,1768,NMN,NMN
897,27577793499,1870,NMN,NMN
917,15466899676,3128,VSMP MMNPP JJ VNVJSTVMJNTPS SM,VSMP MMNPP JJ VNVJSTVMJNTPS SM
949,18273362781,2176,NMN,NMN
90,20237915132,1836,NMN,NMN
121,17765603364,215781,NMN,NMN
159,17765603364,2924,NMN,NMN
196,17855656342,3247,NMN,NMN
219,13458961200,2533,NMN,NMN
233,20263700579,3145,NMN,NMN
264,18575780762,2465,NMN,NMN
332,18634960737,3060,NMN,NMN
528,13604479347,3281,NMN,NMN
552,15385437512,2363,NMN,NMN
571,20720916786,2550,NMN,NMN
667,17082548685,2533,MMNPP VPLKSWMPJN S.M.,MMNPP VPLKSWMPJN S.M.
688,18147829273,2278,NMN,NMN
770,13018198919,1819,NMN,NMN
890,21981339133,1989,NMN,NMN
923,11122690113,3298,MMNPP JJ JJSJNVPLVVMJNTP JJ MVNMS PJRMVS S.M – MJMP,MMNPP JJ JJSJNVPLVVMJNTP JJ MVNMS PJRMVS S.M – MJMP
10,22724869663,2040,MMNPP PZRVNVJST S/M,MMNPP PZRVNVJST S/M
42,16766964731,2890,MMNPP VPLVP (MRMSVL) S.M,MMNPP VPLVP (MRMSVL) S.M
108,17765603364,28203,NMN,NMN
112,17765603364,85850,NMN,NMN
123,17765603364,236436,NMN,NMN
149,26125856632,3095190,NMN,NMN
163,26125856632,3585283,NMN,NMN
194,13132677021,2618,NMN,NMN
253,23413063340,2805,NMN,NMN
279,24649123854,1717,NMN,NMN
309,20587849048,2040,NMN,NMN
311,20539110643,2261,NMN,NMN
363,19301773038,2941,NMN,NMN
369,15587223381,2057,NMN,NMN
372,15583780524,2873,NMN,NMN
526,14880412902,2023,NMN,NMN
639,667321230,20468,NMN,NMN
642,667321230,27846,NMN,NMN
665,26790897363,3332,MMNPP JP JSTMJP JP RVP PRMNJJ JP SZL S/M,MMNRVSZL
693,18947030162,1717,NMN,NMN
707,19461689743,2499,NMN,NMN
711,16761097742,2482,NMN,NMN
747,21083167882,1700,NMN,NMN
752,25086338371,1700,NMN,NMN
776,12586831161,3128,NMN,NMN
814,25403218779,1887,NMN,NMN
839,25443057140,1785,NMN,NMN
883,27516617979,2023,NMN,NMN
899,25368497452,2907,NMN,NMN
48,22587415194,2244,PRJJVMLVMNÇM,PRJJVMLVMNÇM PPPPJRMTVVM JJ PRÉJVTP RZRML
64,26125856632,2414,MMNPP SMNTMNJJR,MMNPP SMNTMNJJR S/M
98,24078152912,3060,NMN,NMN
120,17765603364,170918,NMN,NMN
127,17765603364,330378,NMN,NMN
199,17484082973,2142,MMNPP MZJP MRMSVL S.M,MMNPP MZJP MRMSVL S.M
244,21393802422,2210,NMN,NMN
284,23493468342,3077,NMN,NMN
317,20521669493,3077,NMN,NMN
339,20646566334,2686,NMN,NMN
340,12408155466,1700,NMN,NMN
341,12118122869,2720,NMN,NMN
349,19190237823,1853,NMN,NMN
430,20605092811,1734,NMN,NMN
469,24228636946,1717,NMN,NMN
470,24321219830,2363,NMN,NMN
478,12077600445,2839,NMN,NMN
729,21119368022,2346,NMN,NMN
760,17783205776,2635,MMNPP SPPVJTJ PJNJRMLJ MRMSVL S.M.,MMNPP SPPVJTJ PJNJRMLJ MRMSVL S.M.
777,12479678342,2210,NMN,NMN
841,22846063258,3077,NMN,NMN
860,25757451570,3213,NMN,NMN
889,22537627430,3009,NMN,NMN
11,22097389973,3247,PPPPJRMTVVM JJ PRJJVTP RZRML PPPPMVJL,PRJJVPPPPMVJL
37,17130360845,1921,MMNPP PMMP S.M.,MMNPP PMMP S.M.
63,21420212109,2448,NMN,NMN
85,11922760025,2992,NMN,NMN
86,20299839162,2890,NMN,NMN
106,17765603364,14433,NMN,NMN
117,17765603364,159630,NMN,NMN
122,17765603364,227817,NMN,NMN
151,2227510850,174488,NMN,NMN
187,13638820061,1802,NMN,NMN
205,12770750183,2142,MMNPP JJ LM PRPVVNPVM JJ MZJNPS MVRJS,MMNPP JJ LM PRPVVNPVM JJ MZJNPS MVRJS
217,17562627104,2805,NMN,NMN
282,23515317320,2210,NMN,NMN
323,20665382257,1989,NMN,NMN
333,20632301583,3332,NMN,NMN
361,17302302840,2040,NMN,NMN
489,18112632830,2941,NMN,NMN
636,667321230,15453,NMN,NMN
637,667321230,17714,NMN,NMN
696,17592292087,3196,NMN,NMN
710,13912727325,2788,NMN,NMN
727,12504729440,2380,NMN,NMN
731,15005025078,2907,NMN,NMN
734,15091247361,2210,NMN,NMN
768,19743012169,2754,NMN,NMN
802,14695334990,1785,NMN,NMN
888,23186693686,2516,NMN,NMN
891,22856142133,1734,NMN,NMN
903,22661665363,2720,NMN,NMN
905,16660171717,3128,NMN,NMN
909,26220787641,2074,NMN,NMN
926,17596957992,3060,MMNPP SPJVSM S.M,MMNPP SPJVSM S.M
33,17575301199,2669,MMNPP MJRPJJJS-MJNZ JP MRMSVL,MMNPP MJRPJJJS-MJNZ JP MRMSVL S/M
68,17177675925,1717,NMN,NMN
130,17765603364,439161,NMN,NMN
193,26330219803,2686,NMN,NMN
195,25802197440,2822,NMN,NMN
203,26846632458,1836,MMNPP PRVPVNML,MMNPP PRVPVNML S/M
209,26840664030,2380,MMNPP M J RJNNJR,MMNPP M J RJNNJR SM
263,12050462767,2210,NMN,NMN
272,28137272356,2261,NMN,NMN
297,19148882790,3060,NMN,NMN
345,12053397562,1700,NMN,NMN
