ID_STG_OPR_ITT,VLR_CTRD_CSC,QTD_PCL,VLR_SDO_DDR,QTD_CLI_CAD_POS,QTD_OPR,ID_FNT_ITT,ID_MDL,DES_TIP_PSS,DAT_RSS_FNT_ITT,DAT_INC_DBO,QTD_OPR 
1,nan,45,nan,341,358,67,A04,F,2020-01-16,2020-01-27 10:49:48.15,358
2,nan,63,nan,103,108,67,B99,F,2020-01-16,2020-01-27 10:49:48.15,108
3,nan,22,nan,15,16,67,B05,F,2020-01-16,2020-01-27 10:49:48.15,16
4,nan,48,nan,9,9,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,9
5,nan,290,nan,3,3,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,3
6,nan,109,nan,1,1,67,B99,F,2020-01-16,2020-01-27 10:49:48.15,1
7,24231168.0,20,14774641.0,6,7,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,7
8,nan,59,nan,235,253,67,A04,F,2020-01-16,2020-01-27 10:49:48.15,253
9,nan,38,nan,14,14,67,B05,F,2020-01-16,2020-01-27 10:49:48.15,14
10,nan,117,nan,4,4,67,A01,F,2020-01-16,2020-01-27 10:49:48.15,4
11,nan,332,nan,1,1,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,1
12,nan,53,nan,7,7,67,B05,F,2020-01-16,2020-01-27 10:49:48.15,7
13,nan,13,nan,141,143,67,A99,F,2020-01-16,2020-01-27 10:49:48.15,143
14,nan,250,nan,12,12,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,12
15,83720000.0,158,61146076.0,4,4,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,4
16,nan,319,nan,2,2,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,2
17,nan,162,nan,1,1,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,1
18,nan,17,nan,1,1,67,B01,F,2020-01-16,2020-01-27 10:49:48.15,1
19,453409414.0,82,345569291.0,86,93,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,93
20,831887355.0,70,387293236.0,150,171,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,171
21,nan,90,nan,12,15,67,B99,F,2020-01-16,2020-01-27 10:49:48.15,15
22,nan,220,nan,8,8,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,8
23,168720000.0,117,47151818.0,10,10,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,10
24,nan,8,nan,362,373,67,A99,F,2020-01-16,2020-01-27 10:49:48.15,373
25,nan,120,nan,117,119,67,A04,F,2020-01-16,2020-01-27 10:49:48.15,119
26,nan,263,nan,2,2,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,2
27,nan,99,nan,2,2,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,2
28,nan,85,nan,1,1,67,A04,F,2020-01-16,2020-01-27 10:49:48.15,1
29,nan,108,nan,4,4,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,4
30,nan,246,nan,2,2,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,2
31,nan,110,nan,3,5,67,A01,F,2020-01-16,2020-01-27 10:49:48.15,5
32,32232454.0,18,17549307.0,4,9,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,9
33,nan,24,nan,816,834,67,A05,F,2020-01-16,2020-01-27 10:49:48.15,834
34,nan,68,nan,120,124,67,B99,F,2020-01-16,2020-01-27 10:49:48.15,124
35,576095264.0,63,303150068.0,121,133,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,133
36,nan,10,nan,584,619,67,A01,F,2020-01-16,2020-01-27 10:49:48.15,619
37,nan,12,nan,187,188,67,A99,F,2020-01-16,2020-01-27 10:49:48.15,188
38,528879411.0,55,247015482.0,121,130,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,130
39,495312777.0,53,241139067.0,108,124,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,124
40,nan,35,nan,701,719,67,B99,F,2020-01-16,2020-01-27 10:49:48.15,719
41,nan,57,nan,156,171,67,B99,F,2020-01-16,2020-01-27 10:49:48.15,171
42,nan,172,nan,1,1,67,A04,F,2020-01-16,2020-01-27 10:49:48.15,1
43,nan,78,nan,1,1,67,A04,F,2020-01-16,2020-01-27 10:49:48.15,1
44,6708421243.0,84,5932713631.0,1478,1572,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,1572
45,nan,24,nan,2615,2754,67,A01,F,2020-01-16,2020-01-27 10:49:48.15,2754
46,nan,40,nan,256,273,67,B99,F,2020-01-16,2020-01-27 10:49:48.15,273
47,nan,62,nan,91,100,67,B99,F,2020-01-16,2020-01-27 10:49:48.15,100
48,832905587.0,64,365672775.0,170,194,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,194
49,210263168.0,92,85101641.0,18,20,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,20
50,nan,14,nan,123,128,67,A01,F,2020-01-16,2020-01-27 10:49:48.15,128
51,nan,11,nan,266,272,67,A99,F,2020-01-16,2020-01-27 10:49:48.15,272
52,nan,83,nan,8,8,67,B99,F,2020-01-16,2020-01-27 10:49:48.15,8
53,nan,352,nan,2,2,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,2
54,nan,5,nan,113,113,67,A01,F,2020-01-16,2020-01-27 10:49:48.15,113
55,nan,9,nan,66,67,67,A01,F,2020-01-16,2020-01-27 10:49:48.15,67
56,112005000.0,191,64638600.0,6,7,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,7
57,nan,68,nan,527,611,67,A01,F,2020-01-16,2020-01-27 10:49:48.15,611
58,nan,72,nan,207,224,67,B99,F,2020-01-16,2020-01-27 10:49:48.15,224
59,nan,15,nan,24,25,67,B05,F,2020-01-16,2020-01-27 10:49:48.15,25
60,nan,21,nan,12,12,67,B05,F,2020-01-16,2020-01-27 10:49:48.15,12
61,nan,51,nan,142,152,67,A04,F,2020-01-16,2020-01-27 10:49:48.15,152
62,nan,93,nan,1,1,67,A04,F,2020-01-16,2020-01-27 10:49:48.15,1
63,nan,284,nan,1,1,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,1
64,501840153.0,50,250849962.0,104,123,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,123
65,100304799.0,30,41771922.0,24,27,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,27
66,nan,56,nan,152,172,67,A04,F,2020-01-16,2020-01-27 10:49:48.15,172
67,nan,69,nan,532,628,67,A01,F,2020-01-16,2020-01-27 10:49:48.15,628
68,nan,170,nan,3,3,67,A04,F,2020-01-16,2020-01-27 10:49:48.15,3
69,nan,18,nan,589,594,67,B05,F,2020-01-16,2020-01-27 10:49:48.15,594
70,nan,67,nan,168,219,67,A04,F,2020-01-16,2020-01-27 10:49:48.15,219
71,nan,46,nan,225,235,67,A04,F,2020-01-16,2020-01-27 10:49:48.15,235
72,nan,88,nan,1,1,67,A04,F,2020-01-16,2020-01-27 10:49:48.15,1
73,nan,267,nan,1,1,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,1
74,nan,331,nan,3,3,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,3
